,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
334,Scottish Terrier,Terrier Dogs,Up to 10 inches tall at the shoulder,10.0,18 to 22 pounds,20.0,11 to 13 years,12.0,3,4,2,4,3,4,3,4,5,4,4,4,2,2,1.0,2,4,3,2,3,1,4,3,3.0,4.0,5,4,4,4,4,4
335,Sealyham Terrier,Terrier Dogs,Up to 10 inches tall at the shoulder,10.0,22 to 24 pounds,23.0,12 to 14 years,13.0,4,4,4,4,2,4,3,4,4,4,4,3,3,4,3.0,1,5,3,2,3,3,4,2,2.0,4.0,3,4,4,2,4,4
336,Sheepadoodle,Mixed Breed Dogs,16 to 22 inches,19.0,60 to 80 pounds,70.0,12 to 15 years,13.5,4,4,4,5,2,4,3,5,5,5,4,4,3,1,1.0,3,4,4,4,3,3,5,3,1.0,2.0,2,4,4,3,4,5
337,Shepsky,Mixed Breed Dogs,20 to 25 inches,22.5,45 to 88 pounds ,66.5,10 to 14 years ,12.0,3,1,1,4,2,4,3,4,5,4,3,4,3,4,2.0,3,4,2,4,4,4,5,4,4.0,3.0,2,5,5,4,5,5
338,Shetland Sheepdog,Herding Dogs,13 to 16 inches tall at the shoulder,14.5,Starts at 20 pounds,20.0,12 to 15 years,13.5,3,2,3,5,2,4,3,5,5,5,4,5,3,5,1.0,2,4,3,2,3,5,5,1,3.0,4.0,2,4,4,2,4,4
339,Shiba Inu,Companion Dogs,13 to 17 inches tall at the shoulder,15.0,17 to 23 pounds,20.0,12 to 16 years,14.0,4,5,4,3,5,4,3,3,4,3,3,3,3,4,1.0,4,3,2,2,4,2,4,4,3.0,4.0,4,3,4,2,3,3
340,Shichon,Mixed Breed Dogs,9 to 12 inches,10.5,9 to 15 pounds,12.0,12 to 18 years,15.0,3,5,4,4,1,2,2,5,5,5,4,4,3,1,1.0,4,4,3,2,2,3,4,1,1.0,2.0,1,4,4,2,3,5
341,Shih-Poo,Mixed Breed Dogs,8 to 18 inches ,13.0,8 to 18 pounds ,13.0,13 to 17+ years ,15.0,3,5,2,4,2,3,2,4,5,3,2,4,2,1,1.0,2,3,4,1,3,2,4,3,2.0,2.0,2,3,3,1,2,4
342,Shih Tzu,Companion Dogs,9 to 10 inches tall at the shoulder,9.5,9 to 16 pounds,12.5,10 to 16 years,13.0,3,5,5,3,3,3,1,5,5,4,4,5,2,3,1.0,1,3,4,1,3,3,4,4,4.0,2.0,2,3,2,3,2,4
343,Shikoku,Companion Dogs,17 to 22 inches,19.5,35 to 55 pounds,45.0,10 to 12 years,11.0,3,3,2,3,3,5,4,3,4,3,2,2,4,4,1.0,4,5,4,3,3,2,4,2,4.0,2.0,3,3,3,3,3,2
